experiment_info;actualrun;nruns;grassname_habmat;PLAND;CONFIG;HABQUAL;species_profile;include_quality;start_popsize;timesteps;indiv;homerangesize;avgsteplength;dispfactor;isdispersing;isfemale;islive;totaldistance;netdisplacement;actual_movementcost;timestep_waslive;number_of_meetings;LOCI_start;LOCI_end
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;207;15.0;200.0;5.0;0;0;1;84.7982573783;19.2975039661;50.8685325225;20;0;[[0, 0, 0, 1, 0], [1, 0, 1, 0, 1], [1, 1, 0, 1, 0], [0, 1, 0], [1, 1], [1, 1, 1, 0, 1, 0]];[[0, 0, 0, 1, 0], [1, 0, 1, 0, 1], [1, 1, 0, 1, 0], [0, 1, 0], [1, 1], [1, 1, 1, 0, 1, 0]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;208;15.0;200.0;5.0;0;0;1;96.6322876401;12.6242893187;23.8702973345;20;0;[[1, 1, 0, 0, 0], [0, 0, 1, 0, 1], [0, 1, 1, 0, 0], [1, 0, 0], [0, 1], [0, 1, 1, 1, 0, 1]];[[1, 1, 0, 0, 0], [0, 0, 1, 0, 1], [0, 1, 1, 0, 0], [1, 0, 0], [0, 1], [0, 1, 1, 1, 0, 1]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;209;15.0;200.0;5.0;0;0;1;88.1605450832;30.0955436728;48.8091265819;20;0;[[0, 1, 1, 0, 1], [1, 1, 0, 0, 0], [1, 1, 0, 1, 0], [0, 0, 0], [0, 1], [1, 0, 0, 1, 1, 0]];[[0, 1, 1, 0, 1], [1, 1, 0, 0, 0], [1, 1, 0, 1, 0], [0, 0, 0], [0, 1], [1, 0, 0, 1, 1, 0]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;210;15.0;200.0;5.0;0;1;1;108.59884418;26.7379468037;24.3058165019;20;1;[[1, 0, 0, 1, 0], [1, 0, 1, 1, 0], [1, 0, 1, 0, 0], [0, 1, 1], [1, 0], [1, 0, 0, 1, 1, 0]];[[1, 0, 0, 1, 0], [1, 0, 1, 1, 0], [1, 0, 1, 1, 0], [0, 1, 1], [1, 0], [1, 0, 0, 1, 1, 0]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;211;15.0;200.0;5.0;0;0;1;105.921448811;6.55571501572;20.0706578578;20;0;[[1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [1, 0, 1, 0, 1], [1, 1, 0], [0, 0], [1, 0, 1, 0, 1, 0]];[[1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [1, 0, 1, 0, 1], [1, 1, 0], [0, 0], [1, 0, 1, 0, 1, 0]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;212;15.0;200.0;5.0;0;1;1;86.2689753634;26.8028162645;44.8470673839;20;2;[[1, 1, 1, 0, 1], [0, 1, 0, 1, 1], [1, 0, 1, 0, 1], [1, 0, 1], [0, 1], [0, 0, 1, 0, 1, 0]];[[1, 1, 0, 0, 1], [0, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 0, 1], [0, 1], [0, 0, 1, 0, 1, 0]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;213;15.0;200.0;5.0;0;0;1;87.5446356567;18.8825221564;40.3603657395;20;0;[[0, 0, 1, 1, 0], [0, 1, 1, 0, 0], [0, 0, 1, 0, 1], [1, 0, 0], [0, 0], [1, 1, 1, 0, 0, 1]];[[0, 0, 1, 1, 0], [0, 1, 1, 0, 0], [0, 0, 1, 0, 1], [1, 0, 0], [0, 0], [1, 1, 1, 0, 0, 1]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;214;15.0;200.0;5.0;0;0;1;113.054798604;17.9040653901;22.888988431;20;0;[[1, 0, 1, 0, 1], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [0, 0, 0], [0, 1], [1, 0, 1, 1, 1, 1]];[[1, 0, 1, 0, 1], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [0, 0, 0], [0, 1], [1, 0, 1, 1, 1, 1]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;215;15.0;200.0;5.0;0;1;1;96.7570763257;12.1726953381;32.9805615517;20;0;[[0, 0, 0, 0, 0], [0, 1, 1, 1, 0], [1, 0, 1, 0, 0], [0, 1, 1], [1, 1], [1, 1, 0, 0, 1, 1]];[[0, 0, 0, 0, 0], [0, 1, 1, 1, 0], [1, 0, 1, 0, 0], [0, 1, 1], [1, 1], [1, 1, 0, 0, 1, 1]]
2016-05-16 10:09:57.554103;1;1;simulation_000019_p036_h066_HABMAT;036;066;20.0;Habitat dependent;HabitatQuality_YES;567;20;216;15.0;200.0;5.0;0;0;1;98.4765690619;15.1425295075;21.3487474794;20;0;[[0, 0, 0, 0, 1], [1, 1, 1, 1, 0], [0, 0, 0, 1, 1], [0, 1, 1], [0, 0], [0, 0, 1, 1, 0, 1]];[[0, 0, 0, 0, 1], [1, 1, 1, 1, 0], [0, 0, 0, 1, 1], [0, 1, 1], [0, 0], [0, 0, 1, 1, 0, 1]]
